,corrected
10,رحلة العمرة إلى مكة . بسم الله الرحمن الرحيم . سأكتب مقالا قصيرا حول رحلة قمت بها قبل سنة . قررت أنا وبعض أصدقائي أن نعتمر ونزور بيت الله الحرام . وبعدما استعددنا ، للسفر غادرنا الجامعة بعد ، صلاة الظهر يوم الثلاثاء في ذلك الأسبوع . استغرقت الرحلة عشر ساعات . وبعدما ، وصلنا مكة المكرمة نزلنا في فندقنا الذي حجزناه أمس الأول ، وضعنا أغراضنا وخرجنا متجهين إلى الحرم لأداء ، العمرة . بعد ساعتين فرغنا من أعمال العمرة ورجعنا إلى الفندق حتى نأخذ حظنا من الراحة قبل أن تحين صلاة الفجر . لم يكن لدينا برنامجا خاصا نقوم به ؛ لذا قررنا أن نذهب إلى البادية حتى نشرب حليب كنت الإبل ، ؛ ولما كنت  صغيرا أحب حليب الإبل لأنني قضيت بداية حياتي في ، ، . البادية . ، مضت الأيام ونحن بين الحرم والبادية والفندق وفي يوم التالي رجعنا إلى الرياض .
11,"الالتحاق بكلية الشريعة . أريد أن ألتحق  بكلية ، الشريعة وكنت أريد علم الشرع ، منذ صغري ودعوت الله أن في أكون ، عالما شرعيا هذا الدين ، وأن أخدم - هذا الدين بنفسي - ومالي وكما قال صلى الله عليه وسلم : "" من يرد الله به خيرا يفقهه في الدين ""    ؛ لهذا أريد أن أكون مفقها في الدين  وأخدم المسلمين ."
12,سألتحق بكلية الشريعة . من المعلوم أن كلية الشريعة فيها تدريس لشريعة الإسلام مثل : ، الفقه ، ، ، ، وأصول الفقه والفرائض والتوحيد والتفسير وإلى غير ذلك . اخترت  كلية الشريعة لعدة أسباب : 1 كنت - أحب كلية الشريعة ،  منذ أدرس اللغة العربية والدين الإسلامي وأحب أن أتعلم منذ موادا حول الشريعة ، وأبي هو إمام مسجد كنت صغيرا في السن ، حتى  يومنا صلاة هذا ، ويشرح للجماهير أمور الدين ويخطب أمام الناس في الجمعة أو في حلق التعليم ، وتأثرت بوالدي تأثرا كبيرا . 2 - حسب الوضع الوطني ؛ لأن الآن في الصين انتشرت البدعة والخرافات انتشارا كبيرا ، والناس يبتعدون عن الكتاب ، والسنة بسبب ، ضعف الإيمان والجهل . أفكر كيف أعالج هذه المسألة وكيف أصحح عقيدتهم وكيف أبين لهم أن - هذا الأمر . - حلال وهذا حرام ؟ واخترت  كلية الشريعة لأعالج هذه المشاكل إن شاء الله 3 - كلية الشريعة مجال واسع  يشتمل على يشمل عدة مواد كثيرة .
13,رحلة في الإجازة الصيفية إلى البلد . قمنا بدورات في الإجازة الصيفية في ، غانا وكانت دورات رائعة جدا بها ، قمنا في المدن والبوادي المجاورة ، وألقينا محاضرات كثيرة في المساجد . أنه ومن أعمال الدورات فيها خطب في الجمع والتدريس في ، ، المدارس ، ، وتوزيع ، الملابس والعطور والساعات على المتميزين كان ، والمستحقين ، لها والمحتاجين إليها . وفي ، أثناء التدريس لدينا دفاترا وأقلاما فمن أجاب منهم أعطيناه إما قلما وإما دفترا لكي بها نشجعهم على طلب العلم بجد واجتهاد . ومن أعمال الدورات التي قمنا في . الإجازة الصيفية : عند إلى زيارة المرضى في ، مستشفيات المدينة تامالي وما حولها من القرى ومن نتائج الدورات : ذهابنا القرية التي تسمى يونى وجدنا في هذه القرية ، من المحاضرين  ثمانية أشخاص  دخلوا في الإسلام في أثناء المحاضرات ، وكان من بينهم مشركين وأخبرنا أصدقاؤنا الذين كانوا من قريتهم أن من الذين أسلموا وثنيون ، وأنهم بعد إسلامهم كسروا أصنامهم ورموها كلها .
14,"الرحلة إلى مكة المكرمة والمدينة المنورة . في يوم الاثنين من الأسبوع الماضي ، سافرت إلى مكة المكرمة في الساعة ثلاثة والنصف بعد صلاة العصر مع الأصدقاء ، ركبنا الحافلة ، كلمة غير معروفة ،  ووصلنا إلى الميقات في الساعة الثامنة ونصف ليلا ، ثم ، الإحرام ملابس لبسنا وصلينا صلاة المغرب والعشاء في ، الميقات "" قصير "" بعد ذلك لبسنا ملابس ، الإحرام ، قلنا لبيك عمرة ثم رجعنا إلى مكة المكرمة . وصلنا إلى ، أن ، مكة المكرمة في الساعة الثانية صباحا وقبل نصل ذهبنا إلى المطعم لنأكل طعام العشاء القيام ، ، ورجعنا إلى البيت الحرام لصلاة الصبح ، ، ثم بعمرة بعد ذلك  رجعنا إلى المدينة  المنورة من مكة إلى المدينة قضينا ست ساعات . المدينة المنورة فيها المسجد النبوي ."
15,اهتمامي  بالدراسة . بدأت منذ الدراسة خمس السنوات الماضية ، وكنت أدرس ، من في بلدي وتخرجت المرحلة ، الثانوية . وبعد تخرجي وجدت منحى الدراسة في جامعة الإمام محمد أنا ، بن ، سعود الإسلامية - . والآن - في الدبلوم الثاني وبعد هذا الفصل إن شاء الله إن وجدت القبول في الكلية سألتحق  بكلية ، الشريعة ، وأحب أن ألتحق بكلية ، الشريعة لأعرف أحكام الشرعية وبلدي في ؛ حاجة إلى معرفة أحكام الشرعية وكثير من الناس لا يعرفون أحكام دينهم ولكي أعلمهم فلا بد أن أتعلم العلوم الشرعية لأدعوهم إلى الله على علم وبصيرة .
16,رحلة  لزيارة تاج محل . كنت دائما كنت أفكر في زيارة إلى تاج ، محل الذي هو أول عجيب من العجائب الثمانية العالمية . وفي ذلك الوقت قرأت في كتاب باللغة الإنجليزية في المرحلة المتوسطة أن هو الذي في بناه الملك شاه جهان ذكرى حبيبته ممتاز بيغم ، . كان يحبها كثيرا فاستشار الملك  والوزراء كيف تبقى المحبة بعد وفاتها ؟  فقالوا  أن تجعل القصر جميلا ، شاهقا للناظرين  لتشويق  قلوب المحبين ، متمنين العودة بعد الزيارة ، فبناه بعد عشرين ، سنة ، ، وزينه بحجر كريم ( الفيروز ) وحجر مرمر ، وكتب ، القرآن على الجدار ، وبجواره وقعت القلعة الحمراء لما ينظر إليها من المجلس تسره  رؤيتها . واتفقت في يوم من الأيام مع الأصدقاء ، وركبنا القطار ، من عاصمة الهند إلى أغرة منطقة جنوب برديس ثم وصلنا بعد أربع ساعات ، فصدق من قال ما قال ، حقيقة كان عجيبا من ، عجائب العالم ، فقضيت وفرة اليوم كله . والحمد لله كانت رحلة جيدة وممتعة من المعلومات والمشاهدات .
17,رحلتي إلى غانا . سافرت إلى غانا غرب أفريقيا في من يناير هذه السنة ، وكانت الرحلة ؛ ممتعة ومريحة لأنها كانت رحلة سياحية . كنت أدرس الطلاب القرآن الكريم في جمهورية بنين ( ، Benin Republic ) قريبا من نيجيريا ، ، بلدي . ومن بنين رافقت الطلاب في هذه ، الرحلة العلمية السياحية إلى غانا ومكثت فيها تسعة أيام كاملة . زرنا أماكن متعددة ، بداية من عاصمة غانا المعروفة بأكرا ( Accra ) . وفي اليوم الأول من يناير ، سافرنا إلى البحر لمشاهدة أيلند ( Island ) ، وأيلند باللغة الإنجليزية بمعنى منطقة صغيرة يحيطها البحر ؛ يعني تقع وسط البحر ، وكنا في سفينة حديثة وصغيرة على البحر ، ، ولما ، وصلنا ، إلى المكان المذكور هبطنا في أيلند ، فرأينا الصخور وأراض ، فيها أشجار ، ، ثم بعد ذلك انطلقنا إلى شمال غانا في اليوم ، التالي وكانت فيها أشياء غريبة سجلها التاريخ ، وفيها حجر يسمى الحجر العجيب إذا نقل هذا الحجر من مكان إلى مكان آخر ، فبعد قليل يعود الحجر إلى المكان الذي نقل منه ، وفيها مسجد كان موجودا منذ ستمائة سنة .
18,الرحلة إلى مكة . بعد نهاية في ، الاختبار الفصل الأول ، رحلنا إلى مكة . عندما كنا في الطريق ، شاهدنا مناظرا جميلة  كالصحاري ، وشاهدنا أيضا النوق في جانب الطريق ، . أن نذهب الى إلى ، زرنا أولا باالمسجد المسجد باالمدينة بالمدينة ، وصلينا فيه ، وزرنا - قبر النبي صلى - الله عليه وسلم وصاحبيه ، . ذلك استمرنا في السفر ، قبل وقبل نوصل نصل إلى ، زرنا في  أحد ،  الشهداء ، ثم ذهبنا الى إلى ، وصلينا في المسجد الحرام ، ومكثنا فيها ثلاثة أيام ، ثم رجعنا إلى الرياض .
19,"رحلتي الأولى إلى مكة المكرمة .  هو كيف منظر الحرم ؟ ! هل الناس يطوفون حول الكعبة الشريفة أربع وعشرين ساعة ؟ ! من هم أهل مكة "" ؟ ! اللهم أعني على زيارة ، بيتك الحرام "" هذا ما كان يجري في ذهني من التساؤلات والأدعية قبل أن أزور الحرم المكي ، فإذا بالمعهد من خلال أنشطته الطلابية  ينظم رحلة إلى مكة ، وكم سررت لما وفقت هذه وكنت من المشاركين في ، الرحلة . أتى اليوم الموعود وركبت ، أنا وإخواني من في ، معهد تعليم ؛ اللغة وشرعنا في السفر . الحقيقة كان السفر كان متعبا لأنني ما توقعت أن - المسافة - إلى ، بين الرياض ومكة طويلة إلى هذا الحد ، لكن الحمد لله وصلنا الميقات وأمرنا أن نحرم ونرتدي لباس الإحرام ، ثم استمرنا ، والكل يتساءل متى نصل ؟ !   ما ، رأيت صراحة طوال حياتي مكانا ذا جبال كثيرة ، مثل مكة . وصلنا إلى الحرم ما أبهاه ! وما أوسعه !  ذلك يسبح وهؤلاء يقرؤون القرآن ، ومجموعة ، كبيرة من عباد الله تطوف حول الكعبة . وما كان لي إلا أن أشرع في العمرة وأستمد المساعدة من قبل بعض ، ، الإخوة الذين كانوا قد سبقت لهم العمرة ، فكان هذا أمرا وموقفا لن أنساه ، ولله الحمد والمنة والفضل ."
20,رحلتي إلى بلدي . بعد انتهاء الفصل الدراسي الثاني بدأت رحلة إلى بلدي أنا وزملائي . بدأنا السفر من الرياض إلى أديس ، ، أبابا إثيوبيا ووصلنا هناك الساعة السابعة صباحا ، ثم انطلقنا من إثيوبيا إلى دار السلام عاصمة ، - تنزانيا - الساعة العاشرة ووصلنا الحمد لله الساعة الواحدة ظهرا ، وجدت بعض الإخوة في المطار ينتظرونني ، بعد ، ذلك خرجنا من المطار إلى البيت ووجدت الإخوة كلهم في أمان . وسلام . ، مكثت في بلدي . ، ثلاثة أنا أشهر . بعد انتهاء الإجازة رجعت إلى السعودية للدراسة والآن الحمد لله مستمر بالدراسة
21,رحلة إلى المدينة . من المعلوم أن المدينة المنورة هي إحدى الأماكن ، المقدسة فكثير من المسلمين يقصدون إليها لا يفعلون أي شيء إلا زيارة - قبر النبي صلى - ، الله عليه وسلم ؛ وأصحابه ويصلون في المسجد النبوي لأن المساجد في الصلاة الصلاة في في ، هذا المسجد قمنا ، أفضل من الأخرى بألف درجة . الفصل الثاني في عام 1433 هـ نحن الطلاب الصينيون مع مكتب الدعوة برحلة  إلى المدينة ، المنورة ، ، وكان أخونا ، على - عيسى يدبر كل - الأعمال مثل  مسابقة الثقافة الإسلامية والاجتماعية ويخطب أمام الطلاب وينشد الأبيات ويصلي النبي صلى الله عليه كان من وسلم . ما من من الرياض إلى المدينة 12 ساعة تقريبا بالباص ، ، ، والسفر ، متعب جدا ، . في أثناء السفر ، واحد الطلاب يشرح لنا وقع الغزوات في المدينة بين المسلمين والمشركين مثل غزوة أحد وخندق وإلى غير ذلك ويعلمنا دعاء السفر كانت فهو يقرأ مرة ونحن نقرأ مرة ، ، ، وأيضا ، تقام ، مسابقة الثقافة الاجتماعية لتخفف تعب السفر . عندما ذهبنا إلى المدينة ما ، شعرنا بتعب ، السفر ؛ لأن هذه الرحلة ناشطة جدا . وزرنا المسجد النبوي وجبل أحد ومسجد قباء ومسجد القبلتين وصلينا فيهم ، وزرنا أيضا قبر الشهداء ، وإنني لأول مرة أزور المدينة واستفدت منها كثيرا وتعلمت كثيرا أيضا .
22,رحلة إلى المدينة . في كنا رحلة إلى . المدينة المنورة زرنا المسجد النبوي - ، وزرنا قبره - صلى الله ، على عليه وسلم وسلمنا ، عليه صحابياه صاحبيه - الجليلين أبا بكر - ، وعمر بن الخطاب رضي - الله عنهما . - وعندما كنت مقابل كنت مقابلا لقبر صلى الله - عليه وسلم بكيت وتفكرت أني ما أظن أن أني قبر نبي النبي الله عليه وسلم ، - تفكرت أن رسالته كان كانت صعبة ؛ لأن هذه البلاد صحراء أنها ، ليس فيه حياة عقلية إنسانية ولكن بهذه - بهذا التدهور أن - نقول أغنى وأفضل من بلاد آخر أخرى ولذا ذكرت أنه صلى الله ، عليه وسلم ما بلغ بهذه اللذة الحياة ، ولذلك دعوته دعوت الله أن يغفر له وأن يوسع ييسر كل خيرات الخيرات الجنة . .   
23,اهتمامات التخصص الذي أرغبه في دراستي وعملي هي التدريس في العلوم الدينية . اختياري لهذا المجال قلة العلم وكثرة الجهل في بلادنا . المتخصصون الذين أستفيد منهم هم الشيوخ والمدرسون في جامعتنا . زملائي هم أيضا يرغبون بهذا التخصص حتى يدرسوا في بلدي ويعلموا الناس أحكام دينهم . أسرتي وزملائي يشجعوني لهذا الاختيار وبعضهم يساعدني للوصول إلى هذا التخصص . قصدنا أننا نقوم بمحاضرات ويستفيد الناس من هذه المحاضرات العلمية ، ونعلمهم أحكام الدين حتى يحصلوا على . أننا العلم ونعرف سنقابل بعض الصعوبات لكن  الله هو حسبنا . ونسأل الله أن يوفقنا في قصدنا هذا .
24,الرحلة إلى مكة . في السنة الماضية ، عندما قبلت في جامعة الإمام محمد بن سعود الإسلامية ، وفي الفصل الأول للعام الدراسي سافرنا إلى مكة المكرمة لأداء العمرة . وكانت الرحلة ممتعة ، جدا غادرنا يوم الثلاثاء مساءا مع طلاب معهد تعليم اللغة العربية . وفي الطريق صلينا صلاة العصر قصرا ثم بعد ذلك صلينا المغرب والعشاء جمعا ، وتناولنا العشاء في المطعم . في الطريق لمكة شاهدنا كثيرا من الأشياء التي لم نرها من قبل : مثل الجمال ، ، والصحراء والجبال . ولما وصلنا إلى الميقات يسمى ( سيل الكبير ) وقفنا هناك واحترمناه ثم بدأنا التلبية من الميقات إلى أن وصلنا إلى مكة . وكان مسكننا في الفندق ، فوضعنا حقائبنا في الفندق ثم ذهبنا إلى الحرم ، فطاف كل واحد منا بين سبعة أشواط وسعينا الصفا والمروة سبع مرات ، ثم رجعنا إلى الفندق واسترحنا حتى الساعة العاشرة صباحا . وبعدها  زرنا بعض المتاحف في مكة ، وفي المتحف شاهدنا بعض الآثار كان  ومنها الأواني التي يستخدمها أصحاب النبي صلى الله عليه وسلم النى صلى الله عليه وسلم يستخدمون ، والجلود التي كانوا يجعلون فيها المياه إذا كانوا في السفر ليظل باردا للشرب . ومن الآثار خط السيد عثمان ، بن عفان رضي الله عنه وكانوا يكتبون على الأحجار . وشاهدنا بعض الصور القديمة وأسلحتهم التي كانوا يحاربون بها ، وبعد زيارة المتحف رجعنا إلى المسكن نهارا .
25,"رحلة الحج . في العام الماضي التحقت بمعهد لتعليم اللغة العربية ، وكانت من عادات الجامعة أن تنظم رحلة الحج للمستجدين الذين لم يسبق لهم أن حجوا ، فكنت من بين هؤلاء الطلاب ، وفي اليوم السابع من ذي الحجة دخلنا إلى الحافلة صباحا وتوجهنا إلى مكة لأداء فريضة الحج ، وقد استعدوا لهذه الرحلة التي تذكروها مدى حياتهم ، الطلابية وكان عددنا يزيد عن مائتي شخص ، فلما وصلنا إلى الميقات اغتسلنا ولبسنا الإحرام ، ثم واصلنا طريقنا ونحن قائلين "" لبيك اللهم لبيك "" فلما كنا بقرب مكة ازدحم الطريق فأصبحت الحافلة لا تسير إلا ، خطوة خطوة وفي صباح  الغد دخلنا مكة المكرمة وأدينا طواف الزيارة وهو طواف القدوم ثم توجهنا إلى فندق الضيافة منتظرين أيام منى وعرفات وأيام التشريق ، - وفي - اليوم الثامن يوم التروية توجهنا إلى منى بعد الزوال حيث صلينا الظهر والعصر قصرا بلا جمع ثم إلى مزدلفة . فلما كان اليوم التاسع وهو يوم عرفة توجهنا إلى عرفة حيث صلينا الظهر والعصر قصرا وجمعا ، ثم التزمنا الدعاء والذكر حتى غروب الشمس ، في يوم النحر أدينا ما علينا القيام به من رمي الجمرات الأيام والحلق وطواف الإفاضة ، وفي - الحادي - عشر والثاني عشر والثالث ، عشر أيام التشريق رمينا الجمرات الثلاث كما يلزم فلما أكملنا حجنا توجهنا إلى الرياض وقد أدينا فريضة الحج ولله الحمد والمنة . أما بالنسبة للصعوبات فلا يخلو كل عمل من صعوبة لاسيما الحج . نسأل الله أن يجعل حجنا حجا مقبولا مباركا وأن ييسر الحج للآخرين ."
